rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,2293760,3.9927940646807354,11.110685184,1.663666009902954,5.278626914904751
16,32,4587520,4.032764907677969,10.342785536,1.6491050720214844,5.20232203975195
64,128,18350080,4.0916719198226925,12.088900096,1.6481304168701172,5.197254039954086
